ID,Title,Form-factor,Category of BCI,,Type of Media,Description,Keywords,Year,Prediction,BCI forecast,Utopia/Dystopia - tech-wise,Level of invasiveness,Reality factor,Neurafictionality,Neuroptimism,Name of BCI,Author/Directed by,Distributed by,Production Company,Date
404,The Footprints of God,MRI,consciousness transfer,,Novel,"memory uploading using a super MRI to scan the brain, and uploading the resulting model into a computer. The uploaded person is fully connected to the Internet, and able to learn things in seconds. The person being uploaded is a billionaire with a god complex.",N/A,2003,2146,144,dystopia,Non-invasive,0.131944444,0.113095238,0.857142857,N/A,Greg Iles,N/A,N/A,1-Jan-03
405,Overdrawn at the Memory Bank,tool,consciousness transfer,,"Movie, Novel","Once your brain was uploaded to a spinning cube you could take a vacation and experience life as an animal. Aaron Fingle's dopple was botched when the technicians lost his body and were forced to upload his consciousness to a mainframe as an interim solution. The film indicated he had a limited amount of time before his consciousness degraded to the point of non-functionality. It wasn't really made clear if this was a function of the transfer, the inability of his body to continue function without the mind or some other factor",N/A,1984,2146,163,dystopia,N/A,0.233128834,0.203208556,0.871657754,dopple,"Douglas Williams, John Varley",New World Pictures,"RSL Productions, WNET",1-Jan-84
406,Advantageous,N/A,consciousness transfer,,Movie,"Gwen, the protagonist, loses her job as a corporate spokesperson due to age and racial discrimination, just as the company that's firing her is perfecting Brain Uploading technology. In order to support her daughter, she asks to be put into a younger body and return to her job as the company's spokesperson. The technology is still in its infancy. When the newer, younger Gwen feels disconnected and distant from her daughter, she finds out that she wasn't ""uploaded"" so much as ""photocopied"". Fragments of Gwen's memories and experiences were put into a new host body and blended with the host's personality; in short the original Gwen is dead, and the new spokesperson is an entirely new being.",N/A,2015,2146,132,dystopia,N/A,0.053030303,0.044871795,0.846153846,N/A,Jennifer Phang,Netflix,"D.K. Entertainment, Good Neighbors Media",1-Jan-15
407,The 6th Day,N/A,consciousness transfer,,Movie,a way of making copies of a person mind that can be uploaded into clone bodies. Unfortunately as uploading is often done after death you get memories of dying.,N/A,2000,2146,147,dystopia,N/A,0.149659864,0.128654971,0.859649123,N/A,Roger Spottiswoode,Sony Pictures Releasing,"Columbia Pictures, Phoenix Pictures",1-Jan-00
408,Mindscan,MRI,consciousness transfer,,Novel,Rich people get a super MRI that creates a perfect duplicate of the brain at the time and it gets uploaded into an android body. The originals then retire to a lunar colony that's extra-legal and the androids will claim to be the humans and designed to look like them at their peak of life.,N/A,2005,2146,142,dystopia,Non-invasive,0.11971831,0.102409639,0.855421687,N/A,Robert J. Sawyer,N/A,N/A,1-Jan-05
409,Terminal Experiment,N/A,consciousness transfer,,Novel,"Dr. Peter Hobson invents a machine that detects a brain pattern that leaves the body after death, a pattern many believe is a soul. In order to test their theories on immortality and life after death, Hobson and his friend Sarkar Muhammed create three electronic simulations of Hobson's own personality. When people Hobson had a grudge against begin to die, he and Sarkar must try to find out which is responsible. But all three simulations – two modified, one a 'control' – escape Sarkar's computer, into the Internet and the World Wide Web.",N/A,1995,2146,152,"dystopia, utopia",N/A,0.177631579,0.153409091,0.863636364,N/A,Robert J. Sawyer,N/A,N/A,1-Jan-95
410,Circuit of Heaven,N/A,consciousness transfer,,Novel,"99% of humanity has uploaded their consciousness into ""The Bin"", a giant computer storage that lets them all live virtual lives. Those who chose to remain behind live in a Crapsack World where everything's been abandoned. They are allowed to temporarily visit their relatives within The Bin, doing a temporary brain uploading.",N/A,1998,2146,149,"dystopia, utopia",N/A,0.161073826,0.138728324,0.861271676,N/A,Dennis Danvers,N/A,N/A,1-Jan-98
411,Schild's Ladder,N/A,consciousness transfer,,Novel,a far-future civilization where people can copy or transfer their minds between organic and cybernetic chassis at their convenience; space travel is usually done by commissioning a new body on the destination planet and then beaming the mind over,N/A,2002,2146,145,"dystopia, utopia",N/A,0.137931034,0.118343195,0.857988166,N/A,Greg Egan,N/A,N/A,1-Jan-02
412,We All Died At Breakaway Station,implant,"reading thoughts, telepathy",,Novel,"Using technology to determine thoughts, and then translate it to speech that could be shared electronically.",N/A,1969,2096,128,"dystopia, utopia",Invasive,0.4140625,0.262376238,0.633663366,Cerebral Electromagnetic Emission Amplification and Relay System,Richard Meredith,N/A,N/A,1-Jan-69
413,Memory (Vorkosigan Saga),implant,memory,,Novel,"A memory chip, also called an eidetic chip was a (rather sizeable) bit of bio-electronics that was implanted in a person's brain to aid their memory. The only kind of memory chip specifically described in the Vorkosigan Saga was the Illyrican-made chip in Simon Illyan's head; it didn't catch on as a technology due to the 90% probability that the recipient of such a chip would develop schizophrenia as a result.
Illyan's chip was described as producing a second, parallel set of memories for its owner; though only for sight and sound – smell, taste, touch, and any emotional overtones were omitted from its records. By the time of the events of Memory, Illyan was the one person in the Nexus with the longest baseline for having the chip in place, namely 35 years. It is unknown if there were other successful installations of these chips or of similar technology.",N/A,1996,2121,126,dystopia,Invasive,0.206349206,0.148571429,0.72,memory chip (eidetic chip),Lois McMaster Bujold,N/A,N/A,1-Jan-96
414,Earth Made of Glass,N/A,"emotions, memory, reading thoughts, recording brain activity",,Novel,"A way of gathering and recording mental impressions. This can be seen as an alternative to the usual attempts to record minds by collecting electrical impulses. This device really appears to collect impressions, the whole mental image: not just the picture of the scene, but how the person felt.",N/A,1998,2061,64,utopia,N/A,0.375,0.138728324,0.369942197,Psypyx,John Barnes,N/A,N/A,1-Jan-98
415,The Worlds of If,glasses,reading thoughts,,Novel,Re-creates a mental scene for the viewer.,N/A,1935,2096,162,"dystopia, utopia",Non-invasive,0.537037037,0.368644068,0.686440678,Horsten Psychomat,Stanley G. Weinbaum,N/A,N/A,1-Jan-35
416,The End of the Line,N/A,control of the user,,Novel,Device implants a psychological block.,N/A,1951,2031,81,dystopia,N/A,0.87654321,0.322727273,0.368181818,Dominator,James Schmitz,N/A,N/A,1-Jan-51
417,We Can Remember It For You Wholesale,N/A,memory,,Novel,"A ""memory"" placed in a person's mind by artifice, rather than by real life experience.",N/A,1966,2041,76,dystopia,N/A,0.736842105,0.273170732,0.370731707,Extra-Factual Memory,Philip K. Dick,N/A,N/A,1-Jan-66
418,The Houses of Iszm,N/A,reading thoughts,,Novel,Attempting to construct the thoughts of a person by imitating their actions.,N/A,1954,2051,98,dystopia,N/A,0.693877551,0.313364055,0.451612903,Thought Pattern Divination,Jack Vance,N/A,N/A,1-Jan-54
419,We Can Remember It For You Wholesale,lifeform,reading thoughts,,Novel,A device using living alien tissue to transmit your thoughts.,police,1966,2146,181,dystopia,Invasive,0.309392265,0.273170732,0.882926829,Telepathic Transmitter (Telep-transmitter),Philip K. Dick,N/A,N/A,1-Jan-66
420,Galactic Pot-Healer,tool,"reading thoughts, recording brain activity",,Novel,A device that gathers the thoughts of an individual.,police,1969,2031,63,dystopia,N/A,0.841269841,0.262376238,0.311881188,Teep Rod,Philip K. Dick,N/A,N/A,1-Jan-69
421,The Dosadi Experiment,bead,"reading thoughts, recording brain activity",,Novel,A small bead to be swallowed that allowed the thoughts of a person to be transmitted and recorded during a specified interval.,N/A,1977,2121,145,dystopia,N/A,0.310344828,0.231958763,0.74742268,Taprisiot Monitor Bead,Frank Herbert,N/A,N/A,1-Jan-77
422,God Emperor of Dune,N/A,reading thoughts,,Novel,A thought-based dictating machine.,N/A,1981,2091,111,utopia,N/A,0.369369369,0.215789474,0.584210526,Dictatel,Frank Herbert,N/A,N/A,1-Jan-81
423,The Conquest of Gola,helmet,reading thoughts,,Novel,Machinery to expedite the process of thought transfer.,N/A,1931,2096,166,"dystopia, utopia",Non-invasive,0.548192771,0.379166667,0.691666667,Mechanical Thought Transformers,L.F. Stone,N/A,N/A,1-Jan-31
424,The Infinite Enemy,helmet,telepathy,,Novel,A device that enables communication by thought alone.,N/A,1938,2071,134,utopia,Non-invasive,0.626865672,0.360515021,0.575107296,Psychode,Jack Williamson,N/A,N/A,1-Jan-38
425,Revenge of the Robot,N/A,consciousness transfer,,Novel,Encasing a human brain in a robotic body.,N/A,1936,2146,211,"dystopia, utopia",Invasive,0.407582938,0.365957447,0.89787234,N/A,Otis Adelbert Kline,N/A,N/A,1-Jan-36
426,Gamer,implant,"XR, control of the user, linking, manipulation, stimulation",,Movie,a brain implant called a Nanex allows people to remotely access other people’s brains. It is based on self-replicating nanites that replace brain tissue and allow humans to control other humans' actions and see through their eyes. This technology powers two real-world “video games”.,"XR, gaming, manipulation, simulations",2009,2121,113,dystopia,Invasive,0.115044248,0.080246914,0.697530864,Nanex,Neveldine/Taylor,Lionsgate Premiere,"Lakeshore Entertainment, Lionsgate",1-Jul-09
427,The Human Blend (The Tipping Point Trilogy),helmet,stimulation,,Novel,A device that burns out neural connections.,N/A,2010,2021,12,dystopia,Non-invasive,1,0.074534161,0.074534161,Necap,Alan Dean Foster,N/A,N/A,1-Jan-10
428,Amped,implant,stimulation,,Novel,implants to control epilepsy,medical,2012,2021,10,utopia,Invasive,1,0.062893082,0.062893082,N/A,Douglas E. Richards,N/A,N/A,1-Jan-12
429,Killing Titan,N/A,"knowledge upload, stimulation",,Novel,"An aid to learning, which you apply directly to your skull.",N/A,2015,2041,27,"dystopia, utopia",N/A,0.259259259,0.044871795,0.173076923,Cranial Amplified Programming CAP,Greg Bear,N/A,N/A,1-Jan-15
430,Person of Interest,implant,"knowledge upload, manipulation, stimulation",,TV Series,Implant to help run the virtual simulations and make the person more “cooperative”,"cooperation, simulations",2016,2041,26,dystopia,Invasive,0.230769231,0.038709677,0.167741935,N/A,Jonathan Nolan,Warner Bros. Television,"Bad Robot Productions, Kilter Films, Warner Bros. Television",1-Jan-16
431,"Black Mirror, S4 EP6 ""Black Museum""","helmet, implant","communication, emotions, stimulation",,TV Series,"A two-part system, the Sympathetic Diagnoser is mainly a brain implant that receives sensory information from a transmitter. The information is confined to sensations — pain, specifically, but also pleasure and fear. The transmitter is a brain scanner that another person wears on their head. When another person is wearing it, the Diagnoser allows the person fitted with the receiver implant to feel the pain (or pleasure) of the person wearing the transmitter. In “Black Museum,” the system was used to help a doctor identify the ailments of his patients by allowing him to feel them himself.","pain, pleasure",2017,2031,15,"dystopia, utopia","Invasive, Non-invasive",0.333333333,0.032467532,0.097402597,Sympathetic Diagnoser,Colm McCarthy,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron",1-Jan-17
432,"Black Mirror, S3 EP2  ""Playtest""","helmet, implant","knowledge upload, reality, stimulation",,TV Series,"Mushroom is a neural implant that is part of an immersive gaming system. Mushroom works like augmented reality. It alters the user’s perception, adding things to their experience of the world. In the demonstration in the episode, the user first plays a game of Whack-a-Mole with cartoon moles only he can see, thanks to the mushroom implant. Later in the episode, though, the device simulates his entire reality, “Matrix”-style, causing him to think he is walking through a mansion and even stabbed.
The mushroom is not only able to create a simulated reality for its users, it also apparently scans their minds for information. The idea of the horror video game the mushroom is used for is that it plumbs the user’s mind to find out what they fear, and then uses those fears to make the game scarier. In the episode, the device is also easily interfered with by cellular phone signals.",simulations,2017,2041,25,"dystopia, utopia",Invasive,0.2,0.032467532,0.162337662,mushroom,Dan Tractenberg,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron",1-Jan-17
433,"Black Mirror, S4 EP2 Arkangel",implant,"manipulation, stimulation",,TV Series,"Arkangel is a brain implant used in children that connects their senses and vitals to an external monitoring tablet. The implant is able to tap into the child’s senses to broadcast what they are seeing and hearing, which can be monitored on the tablet, and their senses can be altered with “parental controls.” The controls blur out anything the child sees that might cause a spike in cortisol levels in the brain. Arkangel also monitors vital signs and other bodily functions, like hormone levels, and acts as a GPS tracker to keep the child from becoming lost.","children, tracking",2018,2041,24,"dystopia, utopia",Invasive,0.166666667,0.026143791,0.156862745,Arkangel,Jodie Foster,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron",1-Jan-18
